"","X","his_data_2012.his_all_comments.textOriginal"
"198",198,"i love how this video plays such happy music...
"
"199",199,"OK, so let's look at the facts:
US - lax gun control laws, second highest murder rate per capita in the civilized western world
Canada - strong gun control laws, way down the list of murder rates per capita
Japan - completely banned guns, virtually no murders per capita
Just what are gun lovers defending??!!
"
"200",200,"All this because you want the second amendment, seems to me your not protecting your selfs very well."
"201",201,"Sad that most of these events happened in the last 22 years."
"202",202,"oh look, these mass shooters get to be immortal. more glorification from the media.


""top 10"" seriosuly? what the fuck is this?"
"203",203,"Manson is a fucking genius. I don't give a shit how Christian you are. His songs have the most witty lyrics. "
"204",204,"The Columbine massacre even got its own indie game"
"205",205,"I was about to put that!!!"
"206",206,"then 9 days later came the Connecticut shooting :("
"207",207,"Why does everyone only remember rachel? Oh, that's right, because she has a pretty face. fucking stupid rachel's challenge bs."
"208",208,"this is so tasteless"
"209",209,"omg people need to grow up cause if u go out and shoot people that makes ur life worse
"
"210",210,"Chicken nuggets can cause rage. U didnt see that video of that fat bitch?"
"211",211,"What Marilyn Manson answered has to be some of the best answers you can say. Not a fan of him. At all. Yet you gotta respect the guy for what he says."
"212",212,"What set Columbine apart was that it was one of the first school shootings to unfold on live television. Not that it makes tragedies before and after it any less horrible, but the reason it gets that it used as comparison because of how it unfolded on live television and how the media portrayed it for the public. For an American high school, it's still considered the deadliest. "
"213",213,"Fucking Hassan piece of shit. Fucker is still getting paid Major, he keeps having his trial stall. He is getting a judge in trouble for the judge ordering him to shave his beard. Which is  an Army mandated thing to do. I have to do it everyday. And he should be fucking dead by now."
"214",214,"You probably didn,t read ""Infamous"" in the title..."
"215",215,"I can't help but wonder, why is it that the media widely claims that Columbine was the most shocking and infamous shooting? School shootings weren't unheard of even back then, and the incident didn't result in the most deaths at that point either. Now I'm not saying the victims of Columbine don't deserve as much remembrance as any others--ALL of these events were horrible tragedies--I just keep wondering what sets Columbine apart and why other past events are never mentioned."
"216",216,"You'll get no argument from me with that statement. I guess when I hear of mass numbers of people being brutally murdered I'm just never prepared for it, even though I know these things happen. "
"217",217,"Prehaps not a good idea to call it ""Top Ten Mass Shootings""

Some people might take offence but that"
"218",218,"Sadly I'm not sure that is there a real reason to every killing spree but now days I think some are just wanting their 15 minutes of fame.
As for the latest shooting my sincerest participations to those whom lost loved ones in the shooting. "
"219",219,"Well as long as we are human we are capable of killing others just because our violent behaviour. Everyone has some violence inside of them but some know how to suppress it without harming or killing another human being(personally I do it with competitive sports and video games), but the right circumstances even the pacifist person can turn in to crazed gun man in a split second. 
That is the sad truth, sorry."
"220",220,"oh ok"
"221",221,"On Purim, Feb. 25, 1994, Israeli army officer Baruch Goldstein, an orthodox Jew from Brooklyn, massacred 40 Palestinian civilians, including children, while they knelt in prayer in a mosque. Goldstein was a disciple of the late Brooklyn Rabbi Meir Kahane, who told CBS News that his teaching that Arabs are ""dogs"" is derived ""from the Talmud.""

Not geographically in the U.S., but Israel has more influence on US gov't policy than American voters, so it might as well be the U.S. "
"222",222,"Right on, we're all in this together."
"223",223,"I don't know how anyone could kill another human being."
"224",224,"This came out before,before....*cries so hard it floods house*"
"225",225,"usa is fucked up, media wants you to feel proud of your country and yet everyone outside usa knows how fucked up country usa is"
"226",226,"A lot of people there have guns. It's part of their culture."
"227",227,"Why in the world are most of these shootings in texas "
"228",228,"Bruce Wayne , I thought you were a detective? this was made and posted a week before the Connecticut elementary school shooting. Stop being so butthurt"
"229",229,"Oh ok well was Columbine like the wost high school shooting? I know its not the worst but is it still the most killed from a high school..I need to do some research I cant believe I dont know the Columbine story when its this famous. My aunt was telling me about it"
"230",230,"No, no, no. Fuck you ""WatchMojo"" this is disgusting. What the fuck is the point of this video? To remind us how terrible gun laws are in America? We fucking know you stupid cunts. Profiting from people's deaths to gain more Youtube views. FUCK YOU. You're no different than these gunmen. Who wanted fame by committing these acts and now they have it. You have you're sickening views. There is no point to this goddamn video other than you fucking worthless assholes to profit from it.  "
"231",231,"@Macconator2010 the shooting has actually changed the minds of many lawmakers, and more are for the ban of assault rifles and tougher restrictions on gun licenses. Obama just recently appointed Joe Biden to a new task force to deal with this issue, and will decide on what executive powers should be used."
"232",232,"Why wont the US come to their senses and have more strict gun laws like Australia"
"233",233,"Blame the parents.
"
"234",234,"This list is a joke. How does the Amish school shooting not make the list, but Aurora is #4?"
"235",235,"Dont blame video games"
"236",236,"no don't"
"237",237,"5:44 BOOM HEADSHOT!!!"
"238",238,"I live in Montgomery County and although was 4 at the time of the sniper can still remembers parts of the event. Sad times. Bless all those who lost a life."
"239",239,"Weird how this was posted, and about a week later....."
"240",240,"I know this video was put up before the Sandy Hook massacre, but what about the Portland mall shooting 2 days before it? Was this video up before that? "
"241",241,"How did Columbine beat out Virginia Tech? Come on! 38 dead vs 15 dead? whatever..."
"242",242,"Sandy Hook hadn't happened yet when this was made, and there probably isn't any video footage of a shooting from 1927.

V-Tech shooting was definitely deadlier than Columbine, but I think Columbine's effect on American culture makes it stand out the same way that Sandy Hook will stand out in the future, even though it was less deadly than V-Tech as well."
"243",243,"dc snipers were serial killers"
"244",244,"watchmojo..........c'mon!!!"
"245",245,"RIP to Sandy Hook victims."
"246",246,"Why is Columbine seem to always be mentioned when a new school shooting happens? I know it was bad enough but there are way worse school shootings like V-Tech,Sandy Hook, and The Bath school massacre is even worse then V-Tech...it happened in 1927 the guy killed 45 people including school children. So why is Columbine stand out? It may sound dumb but Im just wondering, I was only in 3rd grade when Columbine happened so I dont really remember...I should research  Columbine since I never have."
"247",247,"You were about 10 days late of the sandy hook massacre"
"248",248,"prob because that wasnt a massacre and the gunmens intentions were initially to robb a bank...most of these seem more random/pointless and sporatic
"
"249",249,"Unfortunately, it's videos like these that inspire lunatics, bullied or not, to commit these crimes. They love the fact that they're considered infamous."
"250",250,"Believe it or not, the world did exist before you were born.
Try reading a history book."
"251",251,"Did you know that the little girl who died in that 2011 massacre was born on the 9/11 attacks? She was gonna be 10 on the 10th anniversary."
"252",252,"I didn't say deaths wouldn't happen, I said the rate would go down.
and ""IF"""
"253",253,"New terrible shooting :( School in CN"
"254",254,"this is sad."
"255",255,"Two words. Bath Michigan. Look it up"
"256",256,"This always makes me wonder what if it happens to me considering I live in not the best neighbourhood and there is a lot of bullying at my school"
"257",257,"More like assault rifiles, consirding the conniticut massecare.
Assault rifiles are designed to kill people, for example look at the AK-47 or AK-74, these guns were designed especailly for millatary.
(Excuase my spelling, I can barely see. I haven't sleep't in 25 hours)"
"258",258,"then ban all weapon related material lol"
"259",259,"Americans shoot people for breakfast"
"260",260,"people will find a way to bring them in. then we all are defenseless "
"261",261,"
the dude's mother (in CT) should have taken him off psychiatric drugs. having those guns around made it easy for him, too. never heard of a woman who wanted not one but two semi-automatics-- and a sniper rifle."
"262",262,"People like this make me embarrassed to be part of the human race"
"263",263,"There's already tons of unregistered guns on the streets banning guns wont do anything"
"264",264,"If it were to be a mini documentary about mass shootings, then I'd say fair enough. 
But the fact that it's a top ten list... is tasteless. These kind of scenarios shouldn't be put into competition with each other... "
"265",265,"if everyone has a gun true everyone would think twice before killing someone... but if we ban guns, we don't even have to think about shooting "
"266",266,"Sadly only after a few days of posting, we have a new number one. The Connecticut elementary school killings."
"267",267,"Thumbs up if you cried while watching the video"
"268",268,"What a tasteless list..."
"269",269,"Yea you have a new one to add"
"270",270,"7. Why should I?

8. Well most of us don't

9. Then stop commenting to me

10. America is a place of immigrants, no one has been orginated from it, which means you can't use ""unamerican"""
"271",271,"This video has to get Updated"
"272",272,"i thought the same thing"
"273",273,"Better update this video. There's a new #1."
"274",274,"7. then shut your mouth
8. I have my licenses
9. I dont give a fuck about your finacial situation, just get out
10.how unamerican of you"
"275",275,"1. Over usage of ""...""
2. It's possible
3. USA has the strictest/most agressive police, I have ever saw
4. No you don't have the right to bare arms, you have to sign up for a licenses, go to a gun store verfiy it, etc
5. ""But, hunting, etc....""
6. I don't have $2,000 to move to a different country"
"276",276,"Your in the wrong country for that.... never gonna happen... never... and I'm proud to say I'm glad it will never happen...  Americans will always have the right to bare arms"
"277",277,"No, I haven't :l I wish I could visit other countries"
"278",278,"Guns anyone?"
"279",279,"Not really. Even countries that has strict gun still has something like this. Finland and Norway are good examples of that"
"280",280,"It was base off Ed Gein. A murderer in Wisconsin. "
"281",281,"Colorado after Columbine takes these things seriously"
"282",282,"Not really the worst school shooting in world happen in Russia "
"283",283,"""I wouldn't say a single word to them, I would listen to what they have to say, which is what no one did."""
"284",284,"Do people in U.S just pop guns out of Nowhere?? They're not supposed to have weapons!!"
"285",285,"surprised the st valentines day massacre did not make it on here sure it did not have the highest body count but the list says infamous"
"286",286,"The 9 year old girl was former Phillies pitcher Dallas Green's granddaughter...the horrible irony is that she was born on 9/11."
"287",287,"I've eaten thousands of McNuggets and I've never killed anybody bro. "
"288",288,"The last guy is gay!"
"289",289,"3:04 gimme mi god damn mc-nuggets!!!"
"290",290,"I went to a Midnight Screening of TDKR. When i heard about what happened in Aurora. I shit my pants"
"291",291,"hatred towards women..... I know that feels bro"
"292",292,"we're all human"
"293",293,"#2 is proof positive that anti-gun laws are worthless. Criminals are going to still get guns AND use them regardless of what limitations are set on law abiding citizens. "
"294",294,"How are these infamous?"
"295",295,"You must live with your eyes closed."
"296",296,"gun makes it easier to kill, but the problem isnt with guns, its with someone killing someone else. "
"297",297,"so sad...makes me think about the horrible person i must be in any GTA game....im a monster!"
"298",298,"Only in the states!"
"299",299,"Check y vids"
"300",300,"I didn't say all deaths would go away, I said 60% of gun deaths. Not the whole 40%. Now stop spamming me"
"301",301,"Some criminals can make guns too you know."
"302",302,"This, or your idea, but I don't think giving a 4 year old a gun is a good idea"
"303",303,"It's pretty twisted to make a top 10 of shootings, but they're pretty damn interesting"
"304",304,"I love that film!"
"305",305,"i think if every1 had guns people would think twice to kill people."
"306",306,"Wtf????"
"307",307,"yea that statistic is a load of BS. though"
"308",308,"R.I.P"
"309",309,"Has anyone seen the movie Zero Day? It's based off the Columbine Shooting and god will it stay in your mind forever."
"310",310,"2004 aurora shooting? Wtf I am guessing the dates are fucked up?"
"311",311,"you never know how sweet life is until it is gone the deaths only make us stronger the failed at what they did and we fix what they did"
"312",312,"Look, guns count as 40% of deaths in the U.S.A, It would make massecaring 99.99% harder...."
"313",313,"Amazing how quickly one forgets about these tragedies"
"314",314,"In many studies that go largely unreported, when gun control rises, when law abiding citizens are prohibited from owning their firearms, violent crime goes up.  When more law abiding citizens are allowed the right to own their sidearm, violent crime goes down.  Violent crime includes, but is not limited to, gun crimes.  Criminals do not obey the law, that's why they are criminals.  Learn more about guns, do not fear the tool, fear the criminal."
"315",315,"46)()&&$),?!!'mbvczaqryujnnbbbcxzss.,,?))65432246790@$)"
"316",316,"No, no it isn't.  If we would ban guns, death rate would probably go up.  The only way for peace is for either everyone to have a gun, or for no one to have one."
"317",317,"I gave you a name on your account.  I can't post links.

Also, I'm not the one flagging your videos as spam.

"
"318",318,"ya! blame it on marilyn manson "
"319",319,"Still no list of  guncunt pro-gun channels?  Thanks for telling me that you mark my comments as spam.  Shows me that not only are you afraid  of not having a gun but you are also afraid of ideas.  You are one giant cowardly hypocritical ass hole.  You bitch about others talking about taking away YOUR 2nd amendment right to a gun while you take away my right to speak out.  From now on I will go back weekly to every video on which I make a comment and repeat it.  Words are more powerful than guns."
"320",320,"25 to life x 6 = 150 years without parole if he lived up to that age(lol) he would have a chance to be paroled."
"321",321,"You can't massacre a group of people with  knives unless you are a ninja. You can run over a bunch of people but you have to be really good at planning. ANYTHING  can be a weapon if you are smart enough. Guns however in the wrong (stupid) hands can hurt more people than any of those you listed, if you are going on a spree it doesn't matter you you suck at aiming a gun as long at you hurt people."
"322",322,"It does happen is based on real life events on the first beginning movie, the sequels were just made up story "
"323",323,"Thats what I just said in the first comment"
"324",324,"That may be, but it hurts those who obey the law more than criminals."
"325",325,"No, it wouldn't, guns count as 40% of deaths"
"326",326,"no killings would go up. using a gun is traceable without a gun people will just use switchblades and stab you in the street in public and pull it back unto his sleeve and he would get away with it"
"327",327,"most of the shooters were addicts to legal drugs "
"328",328,"Number 9 is my hometown :("
"329",329,"""isnt really infamous""?
do you know what infamous mean "
"330",330,"Of course such incidents should be remembered. But don't you think that it is at least in some way wrong to present mass murders as a top 10? Though it might not be intended that way here, a top 10 implicitely renders every placing successively superior to its antecedent in some way, as they are in a transitive relation. That of course contradicts the purpose of commemoration, as it can be taken as glorification of the macabre."
"331",331,"It is hard to kill with out gun."
"332",332,"I thought the Unabomber would be included"
"333",333,"These shootings were a huge part of our history, and like any piece of history we should learn from it. Why not educate people about these so they can be prevented, rather than just pretending like they never happened? MAJOR props to you watchmojo, for doing this. I honestly am glad they did, and do not find it offensive. History is history, weather good history or not. And we need to learn from it. "
"334",334,"Must are from bein bullied or just had enough"
"335",335,"my favoire it the colombine high shooting,that is my top number 1mass shooting"
"336",336,"compare gun crime in the UK with the USA (scale it down to account for the population difference). Your welcome."
"337",337,"Number 9 isn't really infamous, the news even got to the netherlands. And normally we don't get much news from the USA."
"338",338,"Damn, the last couple of Watchmojo videos have all had something to do with death
"
"339",339,"i love how most ppl that are anti gun  are also pro abortion . . . . .."
"340",340,"just saying, i guessed number 1. These events are so sad"
"341",341,"i was glad to see that final part with manson because he gets a bad wrap from people. he is actually a very intellengent person and i think he would make a wonderful teacher or principle because he would find out the root of childrens the problems and FIX THEM."
"342",342,"where's the Hollywood shoot out at? That one became the reason why cops started to carry semi automatic rifles instead of shotguns."
"343",343,"Here in Finland we have stricter gun laws, but we've had our school massacres too sadly. Banning guns isn't the solution, they who want guns will get them anyway. Like Dave Chapelle said, let's make bullets cost like 10 000 dollars each."
"344",344,"I see all these comments talking about ""Banning Guns"", criminals will still get them. How much stuff is illegal that criminals get? Cocaine, Heroin, Etc...If we ban guns, lets ban knives, vehicles, prescription drugs since all those tend to kill people. The silliness of a country that would rather blame an inamiate object other than insane piece of garbage is quite odd."
"345",345,"It would make it HARDER for them to get access to a gun AND ammo"
"346",346,"@amapoorguy * Guns don't kill people"
"347",347,"With guns..."
"348",348,"America and Guns :("
"349",349,"If we ban guns, then criminals would get them the usual way they do things... ILLEGALLY!"
"350",350,"Damn i hate when people blame violent games or movies as the reason people do these kind of things, what about the millions of people who also play and watch those movies and dont go around killing people, its not rap, movies, games not even broken homes i come from a broken home and i haven't killed anyone in about 22 years but hey maybe im doing something wrong. Some people are just fucked in the head from the day they are born."
"351",351,"But you can't argue with the fact that guns make killing people a lot easier, especially on a large scale. Guns made these mass killings possible, no other available weapon would have achieved the same effect."
"352",352,"Yea but u can't easily massacre people with a knife or even a one shot hunting rifle can u idiot"
"353",353,"Trenchcoatmafia ftw!"
"354",354,"I fully agree, and I LOVE my second amendment, but murder rates would go down if there were no guns."
"355",355,"Yes it may be. I don't think one should be ranking tragedies."
"356",356,"Fuck james holmes "
"357",357,"... Rachels challenge, that goes to different schools and urges kids to take a stand. When I was in 7th grade the Rachel's challenge came and the whole school went to the presentation, it was so moving that some people were either in or near tears including myself. I have never heard a story so tradgec in my life, and that goes with all of the incedents mentioned in the vid. It's so sad that these things have happend... Anyway that's just an example and i'm sorry i had to use two comment boxes."
"358",358,"I'm sorry to kinda inturupt but this goes in a similar context for what you guys are saying. Sometimes in the end good things come out to help prevent these same massacres from happening again. For example the infamus Columbine shooting. The first person to die that day was Rachel, she was just sitting outside, eating junch when the shooting started. Yeas before this she drew a outline of her hand making a pledge to stop bullying and things of that nature. The effects of her story sparked..."
"359",359,"""Japan will never invade mainland America because behind every blade of grass would be another American with a gun"" - Admiral Yamamoto, 1942"
"360",360,"i think its better to celebrate a birthday than a death of someone you love and care about "
"361",361,"Holy the Lubys one happened 5 days after I was born"
"362",362,"Texas chainsaw massacre film is based on part of the life of Ed Gein there was never a psycho family with a mentally disable kid with a chainsaw"
"363",363,"What happen to the Texas chainsaw massacre"
"364",364,"i remember the 2011 shooting in arizona. that little girl was portrayed  in a episode of E60. not tomention i knew her parents very well"
"365",365,">Implying support of the NRA is ""brainless"""
"366",366,"Where do they get ammo?"
"367",367,"well you know criminals will defiantly fallow the law, and totally not gun smuggle guns and won't leave law abiding citizens defenseless... use your head dumbass "
"368",368,"why make a top 10 of this
"
"369",369,"That would stop people from buying guns from gun shops, we do need them for the economy... If we stop selling ammo too"
"370",370,"Blame the NRA stupid gun laws intended to shield criminals and idiots from punishment. More Gun deaths, more public fear, more gun sales. If you still support the NRA policy of selling guns to idiots with no limits on numbers, types, magazine size, the gun show loophole and all that... I have a new name for what you are: âGUNCUNTâ.If you donât like that, well too bad! I donât like what has happened to America thanks to your brainless support of the NRA. So damn the NRA, damn guns, damn guncunts."
"371",371,"Y U NO make your videos 720p?"
"372",372,"I don't understand can someone please explain how someone can have 6 life sentences ?"
"373",373,"Thats deep man..."
"374",374,"Yeah, because criminals obey the law."
"375",375,"Our videos look back at anniversaries, birthdays, deaths etc., and tomorrow Dec 6th marks the anniversary of the 1989 massacre at L'Ãcole Polytechnique in Montreal.  Of all the videos we could have produced, this seemed like a good way to educate and inform audiences on the history of massacres.  Is it better to outright ignore the anniversary?"
"376",376,"i live in tucson. You guy have no idea how hard that shooting hit the town. "
"377",377,"Yeah I watched it after I commented on this video"
"378",378,"seriously? What is the matter with you?"
"379",379,"I thought it was about the game infamous hahhaha"
"380",380," he/she is an idiot"
"381",381,"You're five times more likely to die from falling out of bed than you are getting killed in a mass shooting. Fuck gun laws."
"382",382,"you know im tired of you faggets that always say flirst!!! this video is serious and you probally like i wanna be popular on youtube so you know what fuck you"
"383",383,"Every time I c a commercial 4 DKR I think about the Aurorans that were gassed and shot"
"384",384,"Sheeple.... gotta love how they think criminals follow laws. HAHAHAHAHA!!!!"
"385",385,"fuck that im never visiting america to many pyschos with easy access to guns"
"386",386,"Glorifying murders only incourages more."
"387",387,"oh i mean 4"
"388",388,"Man its so scary, i live an hour away from where 3 happened and i have a friend who had almost gone to the very theater it happened. its hard to imagine what drives people to the point of doing such terrible things"
"389",389,"*GASP*"
"390",390,"Well I mean that will do respect.. "
"391",391,"Why would a beard delay a trail? Who cares if the guy got a beard or not"
"392",392,"Not sure if too soon.......or too funny....."
"393",393,"#4) in a perfect world Batman would have shown up an stopped him.... But no.. "
"394",394,"Yeah well the Republican Party will see to it that it never happens. "
"395",395,"For your husbands craze WOW"
"396",396,"that dumb bitch tried to sue mcdonalds because her husband committed a rampage and killed 22 people inside of a mcdonalds. Her explanation was that the nuggets made her husband crazy.  God it pisses me off when people say ugly people like me should not reproduce no its stupid morons like that lady that should not reproduce. "
"397",397,"Really?! Blaming a chicken MCnugget for your husbands"
"398",398,"No, believe me you don't. I live in a country where gun laws are insanely strict and trust me, the possibility of having a firearm in your self-defense gives you a great advantage over an assailant. Guns kill people everywhere even though they are illegal, look at Brazil for example."
"399",399,"Oh wow... I kinda like what Marilyn Manson said at the end of the video. I just hope he isn't supporting what the kids did"
"400",400,"I'm scared i live 10 minutes away from Virginia Tech!!!!!"
"401",401,"Guns make it 99.99 Percent easier to kill someone, we take anyway guns, people have a chance for self defence."
"402",402,"Seems a little grotesque to rank events such as these in an order. What makes one tragedy worse than another?"
"403",403,"guns dont kill people, people kill people. regardless of having a gun or not gun, people will still kill"
"404",404,"If we would ban guns, death rate would go down by 60% But, hunting, etc...."
"405",405,"Too bad that people couldn't watch the movie"
"406",406,"Regardless of the gun control argument, I feel extremely sorry for the victims of these senseless attacks. All they did was wake up and try to live their normal lives only to be shot down for no real reason."
"407",407,"maybe you should seek help"
"408",408,"Through* Your*

and hes a sick fuck for commenting first on a video which happened to be about shootings?

re-evaluate your life"
"409",409,"Guns don't kill people psychos kill people."
"410",410,"What about knives control when people get killed by knives."
"411",411,"How did they let an islamist into the us army?"
"412",412,"How about first to fuck off."
"413",413,"I agree they like to make us feel warm and fuzzy inside"
"414",414,"you really like to do grim top 10s dont you"
"415",415,"those Mcnuggets are addicting HA"
"416",416,"bloop"
"417",417,"Why would you say that on such a thing?!"
"418",418,"gay"
"419",419,"First!!!!
"
