"","real.all_comments.textOriginal"
"581","4:39 what a Call Of Duty fan would wear."
"582","These personas dont diserve  this"
"583","WARNING there’s dead bodies and blood everywhere"
"584","Cops are hero’s they saved their lives some of them died which are in heaven pray for them and R I P for them who died but now that guy is in prison thank god that he saved our lives"
"585","I am french, how can you live with such violence in the USA ?
As a french, it leaves me totally without voice ! 
mass shooting never happened here, (only hunters can possess guns.).
I want also to send the expression of sympathy and brotherhood to the victims of Las Vegas.
Is there no way to prevent all that ?
 There must exist already some kind of filing of all those madmen, if not it is really time to
put it on !
May all those schoolboys rest in peace ."
"586","does this happen in england"
"587","My mom told me that the shooter will set the fire alarm to ring for the y can get out and shoot them so never go out first"
"588","I’m going to a huge high school next year and I’m terrified this will happen to my school"
"589","Kinda funny that the shooter looks like a tard."
"590","Nicoulous cruz should live his life in  jail"
"591","Nickolas cruz you are one"
"592","So many people  died I fell sad and  hurts inside. There such pretty  grlis  that didn't  survive. Pray for all those tees  who have died"
"593","They said Good morning even though it's a Bad morning...😂😂"
"594","I pray for the students in that school"
"595","I fell so bad for the people that had put up with this xx😭😭😭😭"
"596","I wish that shooter will be tortured and will always feel pain."
"597","those videos are...horrifying"
"598","All the other kid's with the pumped up kicks."
"599","If there was a school shooting in my school I would wait for the best time for me and my friends to strike the shooter and beat him up"
"600","Oh my this is very bad. I feel very sorry for everyone who died. May that shooter be punished for his mistake"
"601","Now every time a fire drill gets pulled I’m scared"
"602","One day before this happened I had a drill and one day after i had a lockdown"
"603","Typical white people always wanna blame bullying and mental illnesses for shooting up schools,churches and everything else"
"604","Oh my god i saw dis at storybooth"
"605","it was my b day when this happened D:"
"606","No child has to watch there own classmate or even best friend get shot right in front of them. No child needs to go through this at all.."
"607","Free Supreme nah man"
"608","The k’s 2037 nah its the retarded kids and parents if youre getting bullied or some shit dont shoot up the school tell it or handle it but this?"
"609","To who is going to died"
"610","Skylar Jones Whoa, why the fuck are you bringing race into this?"
"611","Idk memes it’s not dark humor, your being just a dick"
"612","i just hope people would also make dark humor jokes about your future death beacuse they are happy that you are dead for being an insensitive bitch fuck you"
"613","Teddy Bear dark humor is nice but shit like this should be taken seriously with respect"
"614","Idk memes thats true, but would you want to see your fellow students die because of violence? people can die peacefull and when the time is right and their deaths are way too early and not peaceful stfu"
"615","ANTIV you can't even spell slaugthered right smh no wo der you hate school and just so you know, you're insensitive and i hope nobody cares when you die a gruesome death stfu"
"616",":,("
"617","Epix Bitch. They’re not lucky."
"618","No the school shooting was something unlucky but no school for that long is lucky."
"619","Epix no like 3 weeks. Also they're not lucky AT ALL after that happened"
"620","whowereyou
your STUPIDITY is enormous not so your brain if one exist"
"621","whowereyou
i can see you are good at being VULGAR but have no REAL facts to express just misguided and
BRAINLESS EMOTION about LIES you chose to believe"
"622","Dub Wilkinson Fuck you. Shut the hell up. You will burn in fucking hell. Fuck yourself."
"623","Sabrina R
there was no ACTUAL SHOOTING VICTIMS and it is me that understands the PAINFUL TRUTH 
any SYMPATHY  I have would go to the people that believe any LIES they are told without any
question even when the LIES are unbelievable 
http://www.dailymail.co.uk/news/article-5398997/Mother-reveals-daughter-survivor-Florida-shooting.html
https://www.youtube.com/watch?v=89UclS_8Xuo&t=915s
https://www.youtube.com/watch?v=WrmHNShgLCU
I dont make the LIES they do"
"624","Dub Wilkinson Maybe you should have more respect for these poor kids. There were kids on the floor fucking dead. You have no fucking heart. Screw you."
"625","Silvio Hrichi and if they do like it  then they would want the people to die."
"626","Silvio Hrichi, cause they don't like it when people die."
"627","Officer2004 what a pussy"
"628","More could have been saved had that cop not hid in the stairwell."
"629","Officer2004 lol pathetic"
"630","What is the video called?"
"631","Alfieski no clue but after seeing that I really want a change to happen and I’m ready to start trying for a change"
"632","Caitlin B xo 

Yea, I watched it 10 minutes ago and I'm shaking. Just wondering, by any chance do you know who that person was? My heart and prayers go to them...."
"633","Randy Cunningham So it's just America"
"634","Hi Hello A majority of Iceland's population owns guns. Yet hardly no shootings."
"635","No guns equals more weird weapons and or nukes"
"636","MoralSingularity europe has no gun violence and very strict gun laws"
"637","Your government doesnt report it sven . Nor the rapes by migrants who hate you. Once the welfare state in your country collpases there will be more murders from angry migrants stuck there with no gibs."
"638","RobbzRevengeTV I was agreeing with you until you mentioned god, fuck off faggot"
"639","Did you ever think why he did the whole shooting? Look into his backstory -_-"
"640","Dr8gon L7ght paul I totally agree and what really happened is that he shot because the school expelled him when he was younger so it was a revenge solution to himself but may god bless you and this world"
"641","ToastY ToasT oh really who made the earth you are blessed to ave a life I do not care if you believe in God or not but may god bless you and have a happy life"
"642","Ham by Turn I a agree"
"643","luke potts Fuck you."
"644","+Chewy Live
If we called on Jesus, it might stop, but we've gone secular, so don't expect any positive changes."
"645","Alex TM HEY!!! I was just pointing out the TRUTH, okay?!?!"
"646","Florjan Brudar Stfu"
"647","Dina M This is why America is hated by people and has serious problems!"
"648","Candace Fortner you don’t use any emojis over death"
"649","Bro this is obviously fake because you wouldn’t just say “My sis died” you would put sad emojis and rip it’s really fucking sad that your mocking this"
"650","I'm so sorry 😢😳😭"
"651","Gardevoir포켓몬 nobody i guess"
"652","Savage Slitter Who gives a fuck"
"653","Gardevoir포켓몬 im pretty sure if you we’re in one of those class rooms bullshit would stop coming out of that mouth"
"654","Savage Slitter i'm not judging dick"
"655","ChanceBaylor you do realize that all these opinions aren’t gonna do shit right? Its up to the judge"
"656","look at his lip"
"657","MightyCarrot look at this dude"
"658","Unfortunately you're just an ignorant fool who never had Civics and look into people's backstory you emotionless fuck. His backstory was really sad"
"659","DIY Queen and he got away with the murder"
"660","Actually hunting rifles have more power then the gun he used. Many shooters choose this hunting rifle to get more attention simply because it is a black gun. Also you are all ignoring the fact the FBI ignored warnings. They've foiled domestic terrorist before but it seems they were too busy finding out if trump payed to have sex with a porn star or something..which nobody cared if he did."
"661","That won't change anything. People will just get it off the deep web"
"662","Mona Suzuki, while that is true, another reality is the students put the shooter through hell and now they had to face the consequences. Me personally, I don't feel bad for them."
"663","Jose Silva did you really think that its getting better? No! More terrorists atack are going to happen!"
"664","Jose Silva it will be a Great year I promise *hugs*"
"665","Jose Silva 
2018 is a busy year in my life.
No I'm not a grown up but I think this is what the year is"
"666","Hahahahaha😂😂😂"
"667","Jose Silva not as bad as 2016."
"668","Yep, that's exactly why."
"669","He deserves to suffer."
"670","whoareyou WHAT"
"671","Jose Silva They’re not giving him one, they’re making him suffer."
"672","O O F"
"673","Including blacks"
"674","Mingok its kind of not but HEY make your dreams come true"
"675","Sweet Niya ahhh there's always a reason"
"676","Sweet Niya is that normal that i want to go to some town, shoot random people and cut their throats?"
"677","I feel bad for Nikolas Cruz, in the mindset he was in this was the only option he felt was right. I don't blame anything on him."
"678","Dark-humoured 9gagers here so dont try to get offended or you will be yeeted immediately."
"679","Savage Slitter not. Cool"
"680","Naturally Neutral not   cool"
"681","cm g my cousin died in the shooting"
"682","Sampie 4 sometimes it doesn't matter what they're shown if their personality just doesn't fit the status quo then they will be shunned."
"683","A bit too harsh, if you ask me, pump gang."
"684","leo fait la comédie Kill yourself"
"685","What?I'm sorry, I can't understand you."
"686","Creppy when a student can come To school with gun. .."
"687","But why?"
"688","Daniel 22811 ever heard of balance ? Having just all peace would lead to corruption"
"689","Daniel 22811 me too!!!"
"690","Daniel 22811 peace is boring"
"691","Daniel 22811 *hahaha FUCK OFF*"
"692","I really wish that too but there are some mentally ill people in the whole wide world it's nearly impossible to do that"
"693","ElH0mbreRico thats just implies how impulsive he is. He rather see the chaos caused by his actions at the risk of getting caught instead of running."
"694","pump gang 💀😂"
"695","Vera Wang not that new. My old high school had to cancel a fire drill for fear that a shooting was going to happen."
"696","pump gang hahaha... dat fucked uo tho"
"697","Vera Wang yet so clever"
"698","Itzyogirlnicki:D we did something similar in my school cause I live in florida"
"699","ElH0mbreRico Seventeen faggots that did not deserve to die."
"700","17 fags owned and humilliated kek"
"701","MoralSingularity now i know why u named urself that"
"702","fuck you all, death isn't a joke"
"703","Faris Zurub lmao"
"704","Lilly Shearer why everyone in the comments are crying and shit?"
"705","he got builled. so he think ""thats it"""
"706","RheyaRu!z  ikr"
"707","funny cuz America has no damn gun control"
"708","jason walters 😂"
"709","Sharif Brown He openly fired at random students and teachers. That's hardly him targeting people who bullied him. Also he was said to be a complete dick to everyone. For you to ask if they deserve it makes you no better. At the end of the day he murdered people. Doesn't matter if they bullied him or not. That doesn't give him free range to kill a bunch of 16 year olds over petty shit."
"710","Seriously? That piece of shit wasnt bullied or anything. He was a nutjob. He has a history of violence...way before this shooting ever happened. If anyone was a bully it was him. If you were anything but white he wouldnt hesitate to yell all kinds of racial slurs towards you,hebwould even spit in ur face,so if anybody did attack him he was the one that deserved having his ass kicked,He was booted for fighting.  He had assaulted a couple diff. Girls that did try to befriend him. He was the bully and hes a damn nutjob. Hope he dies and goes to hell and is forced to suck satans dick for eternity"
"711","Yes, obviously"
"712","I'm scared to click ""view replies"""
"713","Sharif Brown lol ok. He shot and killed 17 people I am sure they all bullied him and taunted him yeyeye seems right"
"714","But He wasnt bullied?"
"715","No, no, its okay! Your actually right on that! No need to be sorry!"
"716","Sure as hell doesn't justify what this psychopath did"
"717","augusto acosta nosetti Having guns being illegal doesn't prevent criminals from getting them or using them."
"718","Doesn't matter I went through bullying and people calling me weird (Which I wasn't) but I'm here living life I'm good why couldn't he been this guy had some fucked up problems throughout his life god knows wtf happened and why all of this happened but Rest in Peace to the ones that lost their lives."
"719","Hannah the cat loves Bendy ...wha???"
"720","Hannah the cat loves Bendy What the fuck is wrong with you, you idiot?! Why should anyone give a fuck about your opinion, you insecure son of a bitch?! Why are you even commenting? Don't be a dick, you dick."
"721","Uriel Sanchez WHO CARE ABOUT UR OPINION WHAT WOULD U DO IF U GOT SHOT, IF UR FRIENDS GOT SHOT, OR IF UR FAMILT GOT SHOT! woops i thought he said that opinion duck :v"
"722","Idk memes lol"
"723","*ban fire alarms*"
"724","MoralSingularity Your mistake is that you think the USA is the real world. But here in Canada, we dont have transparent-bags at our schools, we dont have metal detectors in our schools, we dont have police officers at our schools, we dont have security guards at our schools, we dont have armed teachers at our schools, but most importantly.. *we dont have school shootings in our schools.* Why? Because we have proper gun laws."
"725","MoralSingularity apparentely the fantasy land is real in sweden"
"726","bullshit, welcome to the real world. keep living in fantasyland and see what it gets you."
"727","MoralSingularity if you need to have multiple guards at your school there is a gun problem"
"728","idiot, they didnt have secured doors, metal detectors, and security at those doors. just some guy wandering. and no, scumbag, you are a fucking moron. what is your answer, genius, ban guns? i bet you are that stupid."
"729","If one of my friend was shot, i will go crazy and kill myself"
"730","😞😢"
"731","😞😢"
"732","Emilia Parris Ikr"
"733","cuz we would be laughing had we seen our classmates shot dead, lmaooo"
"734","wtf"
"735","GraceDat Vlogger ikr Orlando shooting happened there that was big parkland shooting which is this was big Christian Grimmie got shot there which was big Jesus rip to all those innocent people that died"
"736","there are idiots are over the earth and i don't mean the students i mean the shooters"
"737","your name is accurate"
"738","Youtube ForLife amen"
"739","us too! only he wasn't even suspended! just arrested for a single day. he had a fucking list of people to kill and everything! i dont feel safe at all and i dont know how to get the word out"
"740","pussy"
"741","ChiefCom GOOD LUCK"
"742","Lol Lol You dumb fuck, a polkce officer just saved 1,000 lives at a school"
"743","Um, I did click on three of them, and they were about Canada? WTF hahahaha, NOT NZ bro. NZ is in the southern hemisphere, across the ditch from the Aussies, its 2 islands, one is the North Island and one is the South Island. I live in the North island, Hawke's Bay. You have the wrong country mate, go back to school, and lets hope you don't get killed by guns... the one topic I was talking about. Not all the noise you keep throwing at me."
"744","By the way, feel free to stop now. I am done with your crazy ass."
"745","What do you mean which I am lying about? Like I am lying that I come from New Zealand? haha, that is a bit mental. and I cant think why I would? is new Zealand that great that one would lie about coming from there? Honestly, I don't care about any of those links.. NOT going to click on any of them. I don't care for anything you have to say, I honestly don't know why you have such a problem? I assume you are American, and I offended you delicate sensitivities about guns... which is dumb. Harden up bro. FFS. if is NZ vs USA, good luck mate."
"746","When i meant that sucks i meant Sorry for your loss but i can take jokes. Sorry If I insulted You directly."
"747","Aesthetic Cell did i say i was cool?"
"748","Heaven doesn't exist"
"749","sathya skywalker go die"
"750","eric wright ur an evil person u probably are 60 and committed many crimes"
"751","Sunlight go die"
"752","Sunlight why would you say something like that. THESE PEOPLE DIED FOR CHRIST SAKE!"
"753","No, I won't shut the fuck up just because you're unable to grasp reality.
You're a brainless fairy-tale-loving puppet, nothing else.  
And that's your fault:  not mine or anyone else's."
"754","Alexei Cogan Maybe you shut the fuck up because she didn't do anything to your fucking feelings, How bout that? She does feel bad to those 17 people that died, And now those 17 people who died are in a better place now, and you not in the better place, Because United States of America is kinda a dangerous place because their's murder,Stealers,Shooters, and some kidnappers and some strangers that can kill you. And those people who are crying miss their child's, Now those 17 parents from those 17 students don't have kids but those 17 students may have sisters and brothers. So make me a favor stfu. You are dismissed."
"755","ok sorry for being so rude, I aplogize."
"756","Unwanted Wombat 
O"
"757","Shelsea Moen yes I wish there was no war"
"758","Sienna DIY dickies dice"
"759","I feel the absolute same😭😭❤️"
"760","Sienna DIY true"
"761","Sienna DIY I"
"762","Sienna DIY Same I would cry if I was in that school"
"763","Spoken English"
"764","God bless your grammar"
"765","Hammerschlägen M this is a video about an attack that killed 17 people and you ar knitpicking at spelling and grammar"
"766","Kill Yourself well people have different beliefs and you should atleast respect that"
"767","i really dont like being mean to people so sorry if i hurt your feelings because i felt like i was kinda mean."
"768","Sorry if i sound harsh."
"769","Soar I know how they feel I got paralyzed in my left arm in a school shooting in sparks middle school it was horrifying turns out the plan was fascinated by columbine my cousin went to columbine but missed that day when the shooting happen so he was lucky but not me I recovered but still have a scar also I have bad grammar I'm in high school now hopping this doesn't happen to me again"
"770","Soar If i was bullied like he Was, and I was the whole 4 years in my high school, I would drag those fuckers to hell with me for thinking it's funny and cool to pick on the weak, well look who's weak now motherfucker, you won't be bullying no one when you got a gun to your face 🤤🔫
And to hell with y'all that think that medication or therapy would help because it wouldn't, it won't stop those idiots from bullying"
"771","Rest in pieces lmao 😂😂😂"
"772","Nicolle Griffin FBI is shit.their trying to help the world? Think again,FBI made these crimes.like Michael Jackson death,illuminati did it but fbj was behind it,every come in the world was the FBI."
"773","Tae's Guxxi It was so evil but brilliant at the same time."
"774","sᴜᴄᴋᴊɪᴍ FBI was behind it ."
"775","sᴜᴄᴋᴊɪᴍ Every weapon is lethal and designed to kill, you are telling me you aren’t okay with someone being shot with and AR but you are okay with someone being shot with a shotgun which causes more damage?, Virginia Tech was done with two semi automatic pistols and the body count was unfortunately bigger. Besides most gun murder in the US is done with handguns rather than rifles"
"776","Isaac White y"
"777","I'm a completely sane person. Unlike you, you're willing to help a man who murdered 17 people. If anything, you need mental help."
"778","TheStormedBandit Gggg"
"779","TheStormedBandit 🙏"
"780","ThoMoto 
>We Detest War
>Thousands of wars have been fought by europeans against Europeans and other races 
Sure you do, europoor."
"781","Who the fuck says ""12% of my friends are dead""?"
"782","Jaquzzi Studios FBI is behind it.and I was in the class that said oh shit, and 12% of my friends are dead 😭😭😭"
"783","So many kids died in that class room D:"
"784","Hmm if you add the part from No ketchup just sauce Bang bang.... that might make it better"
"785","Dude, this is something serious. This is not about video games, this is  about the experience of school shootings.
What if the gunman comes in? What would you do?"
"786","who screamed"
"787","1 like=one love for that girl"
"788","Bork Freakin Laser shut up minority, you say it like we are all the same"
"789","GloWz I love it how America blames inanimate objects for stuff like this."
"790","theKFCbandit it's not always white people maybe *american whites *"
"791","erulko We need things other than thoughts and prayers."
"792","Nah, CGI m8. It's 2018, I mean cmn..."
"793","It's not the NRA's fault, it's the gunmans fault. Think about this, if you want only police to have guns to protect, that's also like saying you want all fire extinguishers to be removed and to have only firefighters use tools related to it. That'd get us killed.  Why do you think all those kids at Sandy Hook got killed? Because they had to sit there and wait for police to arrive. I don't know why there's people like you that want the government to have complete control over everything. Take charge of things in your life, because youre causing a whole lot of stress on those who have to deal with your problems AND their own."
"794","Can we do a line you of all the mass shooters from the first one to the last one"
"795","Especially in Florida"
"796","All guns should be sold at age 21"
"797","that boy deserves to burn in hell. my best friends cousins sister was shot."
"798","Homie why is the thumbnail some edgy kid with an airsoft toy"
"799","Bless those children and parents my prays are with you <3"
"800","build that wall!!!"
"801","he said he had a 9mm long gun not even an ar15 what retards"
"802","God bless America🇺🇸 
Amen 🙏 ✌🙏💝"
"803","love this kid"
"804","Poster boy for alt right"
"805","I like how the nicer school districts don't got security really come to my school they got 2 cops armed then there's a k9 unit 3 days a week with 5 plus regular security guards go to a nice school maybe 1 unarmed security guard no metal detectors no bag checks nothing its just crazy"
"806","Thank god i dont live in fucking america.
Where i live we rarely have school shootings maybe like every few years.
In america its just another tuesday lol."
"807","He should have taken the orange tip off the pistol. HaHa."
"808","US is fucked up"
"809","The girl is a lesbian Nazi"
"810","Yes stop the violence"
"811","WHY WOULD YOU DO THIS CRUZ I THOUGHT PEOPLE KNEW YOU AS A NICE PERSON NOW THEY KNOW YOU AS A MONSTER KILLER"
"812","That white little fuck thinks he is funny being an Islamophobe 😂

Shut up and die, you white school shooter"
"813","I don't find any of his social media incriminating, if you notice how CNN keeps moving the content of his social media in and out, in and out to where you can't read it. I paused it and went full screen and didn't see anything about him killing anyone honestly. It was just gun talk with other people that liked weapons. he even had a knife that he had custom made the handle part. This is probably why he wasn't on the FBI radar because THERE WAS NOTHING THERE CNN!! FAKE NEWS!!! show us the real unedited social media post that he made about killing kids at a school!!"
"814","I don’t give a fuck if an entire fucking school was shot out, it’s the right to bear arms to own a fucking gun, and the marches to get rid of guns are fucking awful. To stop school shootings, why not get a damn better protective school, or actually give guns to responsible people. You can’t get rid fucking guns, sorry bitches. I hate school shootings, but the cunts who pull of these stupid ass marches to get rid of guns are on fucking crack."
"815","academy award time"
"816","Kids blaming and shaming adults,.....because kids are  killing themselves in hideous murder / suicides,.....never asking WHY.     That is a perfect example of  the Liberal  ""Everybody is the victim"" mentality that is failing to deal with real problems while teaching no accountability.  I guess, no matter what you do,..you can always blame it on an inanimate object or the popular chosen ""enemy"".."
"817","handguns have higher caliber bullets + they're easier to conceal and more mobile. They make it seem like our current gun laws make no sense, and that's true, but I stand by the age restriction for handguns being older than assault rifles."
"818","Fake as sandy hoax...nobody died there period."
"819","10 likes and I will shoot up my school..."
"820","Has he been executed yet? The ATFs should also look into everything he has learned like... what the fuck?

As I'm watching this, ""one common denominator"" it almost starts to seem like someone is behind this. Someone with power trying to curb laws and regulations, ""lesson learned"" to speed up processing in which schools have to be pushed harder and faster to act in making schools safer. Like a conspiracy or something... JUST FUCKING MAKE SCHOOLS SAFER!

Also, he was RIGHT THERE! One of 219 people could have stopped him! The world is sleeping man... smh... people need to wake up to prevent something like this from happening again.

Change the purchase laws!.. Jesus...

Maybe the school shooters are assets of someone with higher power which investigator haven't found their true motives... assets to do the dirty work to motivated schools to act... 

Either way its all bullshit! The 17 who died didn't deserve such a horrible fate even those whom died in the past school shooting. No student or teacher deserve such evil."
"821","Rip to all of them"
"822","Damn, he couldn’t even make it to round 3!











Nah I’m jp."
"823","The rifle is a low caliber single pull single shot rifle. Pistols are easier to conceal and are used in far greater numbers in shootings across America. You can't control mental instability but we can enforce the laws on the books. 30+ reports went without investigation? Complete failure on the part of the county sheriff and a tragedy."
"824","Rip"
"825","this is because of bullying people"
"826","So what if you can by an “ assault rifle” at 18 and a hand gun at 21 can you fit and at 15 in your pocket no you cant"
"827","The reason why handguns are harder to obtain is because they can be concealed. An AR-15 cannot be fucking concealed."
"828","This is cnn might as well turn the volume off"
"829","Lmfao, I hate that nigga on cnn"
"830","Why emphasize so much on make a report and try to blaming pplfor it ?why not change ALL GUN LAWS????????
The see what difference it will make."
"831","😖"
"832","Lol What Americans. They r truelly sons of monsters"
"833","You mean he was not on any police watch list."
"834","Assault style weapon"
"835","you people listen to nothing do you? Do you people listen? No1 is listening. what is the same in almost every school shooting, not only school but even the las vegas shooting by a 60 yr old man? evry single 1 of these shooters said this.. a demon told me to do it and how to do it, that's what they said but we take that as a mental problem but its not, we are not fighting flesh but we fight spiritually and as a nation/America that most people say they are Christians but we cant see this, why cant we see? Let our eyes be open oh Lord. we live in the last days where evil is seen as good and good as evil, wow this was written over 1000 yrs ago."
"836","im scared to go to school now thx alot"
"837","Yep..  He not bout to shoot up my school he better find some other side of America school to shoot 🔫 cause I will, pistol whip you ass"
"838","This nigga need help"
"839","It’s okay guy cuz in the future we will figure out time travel and save these kids"
"840","F-A-K-E news"
"841","정말? 미국과 무슨 일이야?!!!!"
"842","#dindunuffin"
"843","DON LEMMINGS IS LIAR!!"
"844","FAKE,FAKE,FAKE!!!!!!"
"845","Assault rifle is a made up term by the democrypts,just like fully semi-automatic! WTF? STUPID MOTHER FUCKERS!"
"846","He is even killed the dancer she an girl of her friend cried i dont saw this in news"
"847","Why is it that, when there's a school shooting, the students have to walk out of the school in a conga line."
"848","😭😭😭😭😭😭😭😭😭😭😭"
"849","He was holding an air soft gun in that photo scary"
"850","#FUCKNIKOLASCRUIZ"
"851","God bless student that were dead and Jamie Gutenberg friend that. Was in year seven committed suiside be cause Jamie died"
"852","What the F**K why can't they take responsibility with F**king guns"
"853","propagated talk show disguised as news. stop supporting this nonsense people."
"854","hand guns are easily concealable, long rifles aren't. there you go, question answered retard"
"855","The picture to this video, the pistol is a orange tip, clearly an airsoft. No joke guys."
"856","School shooting starting to happen almost on a daily, what has been done? Nothing."
"857","21=handgun
18= assault semi
Why though?! Usa is fucked up. I blame trump"
"858","YALL ARE DUMB ASF YEA RIFLES ARE LESS COMPACT THEN PISTOLS. that’s why u need to be 21 to get a pistol and 18 to get a less compact rifle that shoots the same round as a .22 caliber pistol just with a little more power. So you CNN faggots can stfu and go suck an ass full of empty casings."
"859","I'm crying right now watching this videos."
"860","Why does the second reporter look just like the shooter without the freckles??"
"861","An AR-15 is not an assault weapon because it is semi automatic and it is not used in the military.  An AR is a civilian weapon used for protection.  I suggest you look for the FACTS before you REPORT THIS ON THE NEWS"
"862","they deserved that. your western society is degenerate and rotten."
"863","No body cares about this fucking Florida shooting anymore. It was a big deal for a week, that’s it... What makes this Florida school so much more important than the other shootings? This world is cruel. Deal with it. Move on."
"864","U have to be 21 to drink alcohol and poison yourself, but only have to be 18 to be sent to a foreign country to kill and destroy on behalf of a banker. That makes no sense"
"865","everything is goes with 'allahu akbar'.. oh god!!!"
"866","That guy is a racist pig ,thats all I can say"
"867","There was one thing not preventing a school shooting...armed security or local civilians with firearms but nope they want an un armed helpless society destination globalization and obedience"
"868","Don knows Jack about weapons."
"869","Fake gun in pic pay attention either a bb gun/pellet gun, airlift,"
"870","CC please"
"871","Horrible and donald trump do nothing... too many school shooting"
"872","an 18 year old can just buy an assult rifle.... why is anyone ever surprised at mass shootings???"
"873","If anyone blames the NRA your a queer😂😂"
"874","you have to be twenty one for pistole cause its hidable and comonly used. you can be eighteen and own a SPORTING RIFLE because its obvious as fuck when someones armed with a rifle. stop acting like an idiot when you know its because a rifle kills less."
"875","I’m 14 and know more about these laws than all these “professionals with guns”"
"876","First off .... The guns in the photos you keep showing are Airsoft BB guns that only shoot plastic 6mm balls..... And I haven't seen a photo of him with a AR 15 .... Please look at all kids fb that play Airsoft there's thousands of photos of kids with all sorts Airsoft guns ? Look it up"
"877","I heard that he told this girl that he was gonna shoot up the school.but she didn’t believe him.I have a feeling that if that girl did something this would of never happened"
"878","why does America allow guns?"
"879","Because a hand gun is concealable (you can hide it on your body) and with an assult weapon you cannot do that"
"880","wtf is that common sense?
18yo for a full-automatic assault rifle
21yo for a pea-shooting handgun
What's next, a cal.50 for 12 years old?

Instead of giving weapons to teachers why not just hire professional vigilants instead of donut eating fatso with a baton?"
"881","Thing is a knife is silent...guns make noise...people hear shots they dip...point is people kill people...and will use any way they can...more people are murdered with knives...should we can knives..."
"882","Ok here me out ok one person just one can be discluded but what are they really thinking about when they are shooting just one bullet at just one kid maybe innocent kid and those voices in his head like your not good enough or your not cool that can wreck a person ok this is why we need to stick together ok because the next school might be yours and your best friend could be shot by the kid you hated what would you think be nice help people be kind ok have a heart thank you and I'm sorry to the family's"
"883","why the fuck was an 18 year old mentally ill boy with an extremely known violent past allowed to purchase an AR15?"
"884","Do you see what happens when you do not act right you put maidens into a panic your marriages will not go free from adultery deception"
"885","Perhaps dedicate some funding to the school system make teaching an honorable job make school a safe place to be a grand place of growing vocabulary"
"886","Campaigns are funded to go and Battle 3000 miles away while a warrior goes to battle his children are left in the hands of sexually immoral slanderous individuals who have no regard for the lives of youth"
"887","Think of your daughters and sons going into a place that teachers would openly slander them even seeking out their seduction and virginity dedicate some serious funding to the education system"
"888","Prove to me that you can do something good"
"889","What behaviors do you people carry? I have lost nearly all of my respect for anyone who is of an older generation I see you people and you are worthless to me"
"890","Say prayers for public school systems! Parents send their kids into a place that can have no guidance no wisdom some teachers even torture your children making them pee themselves in the classroom some teachers even engage in bullying their students selecting them out and slandering them in front of others"
"891","The teacher began talking about my young maidens vagina in the 8th grade we were only in our 12th revolution around the sun"
"892","One of my “teachers” tried to seduce one of my maidens at the age of 12 complementing her staring down her shirt. The man should face corporal punishment! He had not known this specific maiden had been molested as a child"
"893","I have enjoyed studying human behaviors some of the students in classrooms begin worshipping Adolf hitler idolizing the holocaust speaking proudly of genocide others will say that they want to cut heads off of their classmates a majority of the students behave in sexually immoral manners one of the young women in the school seduced a teacher then saying that he forced himself onto her another instance an old man would speak
Seductively to one of my maidens calling her a babe in our study hour. This same teacher asked another maiden to give him head the next school year. What is the hiring process for a public school teacher are they selected from drunken revelry and then used to seduce students who wish to study? I am displeased"
"894","Yup. Ppl kill ppl not guns"
"895","Steve Nicholson because the adulte are responsible of hiding the guns and gun laws"
"896","Because America have an unusual love for hunting and believe it’s their “right.” 🙄..."
"897","in my country,only soldiers and police officers have access to guns"
"898","mona lisa Because he’s an American."
"899","You people need to behave yourselves"
"900","Democratic republican you people have idolized these titles becoming worthless reaching no resolution no forward looking statements I have seen the only thing I have heard from your mouths is that you have loved money. Secure your greatest asset, the people of the United States wickedness has spread among the youth how will these people debate on a global stage if the only words they know are cursing and bitterness"
"901","In the eyes of the other nations you are prostitutes gone mad"
"902","You are worthless bickering among yourselves each and every year"
"903","You politicians have done a horrible job"
"904","One day I went to enjoy a football game at the school. One student said to another I have guns in my book bag, another student began finger shooting police officers"
"905","I’ve been out of the public school system but still even my servants come to me telling me students proudly speak of wanting to scalp another student the youth have all together begun mutilating their flesh since I’ve left the school system the state of the situation has become worse children filming pornography in the library other students have been found over dosing in the bathroom from prescription pills"
"906","You will NEVER see the security cameras from in the school,  WHY ??  because it was not Cruz."
