"","comments_real","comments_2012","comments_2013","comments_2014","comments_2015","comments_2016","comments_2017"
"mirrors",0,0,0,0,0,0,1
"miserablly",0,0,0,0,0,0,1
"misha",0,0,0,0,0,0,1
"misono",0,0,0,0,0,0,2
"misspell",0,0,0,0,0,0,2
"mistakenly",0,0,0,0,0,0,1
"mistook",0,0,0,0,0,0,1
"mlh",0,0,0,0,0,0,1
"mmm",0,0,0,0,0,0,1
"mmmm",0,0,0,0,0,0,1
"mmmmmmm",0,0,0,0,0,0,1
"mnnnnnpumped",0,0,0,0,0,0,1
"moaning",0,0,0,0,0,0,1
"modes",0,0,0,0,0,0,1
"modules",0,0,0,0,0,0,1
"moines",0,0,0,0,0,0,1
"mokey",0,0,0,0,0,0,1
"molar",0,0,0,0,0,0,1
"mold",0,0,0,0,0,0,1
"molly",0,0,0,0,0,0,2
"molotov",0,0,0,0,0,0,2
"moly",0,0,0,0,0,0,1
"molyneux",0,0,0,0,0,0,1
"momentshours",0,0,0,0,0,0,1
"momi",0,0,0,0,0,0,1
"momment",0,0,0,0,0,0,2
"momnshooter",0,0,0,0,0,0,1
"mondie",0,0,0,0,0,0,2
"monetize",0,0,0,0,0,0,1
"monitors",0,0,0,0,0,0,1
"monthnget",0,0,0,0,0,0,1
"morale",0,0,0,0,0,0,1
"moranâuus",0,0,0,0,0,0,1
"morels",0,0,0,0,0,0,1
"moreover",0,0,0,0,0,0,1
"morir",0,0,0,0,0,0,1
"morningnnschool",0,0,0,0,0,0,1
"morty",0,0,0,0,0,0,1
"moster",0,0,0,0,0,0,1
"motherfcking",0,0,0,0,0,0,1
"motherfuckerðufuuðufuu",0,0,0,0,0,0,1
"motorised",0,0,0,0,0,0,1
"mountains",0,0,0,0,0,0,1
"mountcastle",0,0,0,0,0,0,2
"mourn",0,0,0,0,0,0,1
"movable",0,0,0,0,0,0,1
"movennthen",0,0,0,0,0,0,1
"movienkill",0,0,0,0,0,0,1
"mrlawson",0,0,0,0,0,0,1
"mrmanmakeslotsofcan",0,0,0,0,0,0,2
"mroe",0,0,0,0,0,0,1
"mroglou",0,0,0,0,0,0,1
"mrsblackman",0,0,0,0,0,0,1
"msherry",0,0,0,0,0,0,1
"msmacoy",0,0,0,0,0,0,1
"msross",0,0,0,0,0,0,1
"muahahahah",0,0,0,0,0,0,1
"mubiynm",0,0,0,0,0,0,1
"muchnnalso",0,0,0,0,0,0,1
"muh",0,0,0,0,0,0,1
"mulipultimes",0,0,0,0,0,0,1
"mullis",0,0,0,0,0,0,1
"muppets",0,0,0,0,0,0,1
"muppies",0,0,0,0,0,0,2
"murdurer",0,0,0,0,0,0,1
"muricaaa",0,0,0,0,0,0,1
"muslems",0,0,0,0,0,0,1
"mustard",0,0,0,0,0,0,1
"muuuuricaaa",0,0,0,0,0,0,1
"muuuuuuuuum",0,0,0,0,0,0,1
"muzzle",0,0,0,0,0,0,1
"myschool",0,0,0,0,0,0,1
"myst",0,0,0,0,0,0,1
"naah",0,0,0,0,0,0,1
"nachan",0,0,0,0,0,0,3
"nade",0,0,0,0,0,0,1
"nadlin",0,0,0,0,0,0,2
"nadrenaline",0,0,0,0,0,0,1
"naenae",0,0,0,0,0,0,1
"nafter",0,0,0,0,0,0,1
"nage",0,0,0,0,0,0,1
"nahh",0,0,0,0,0,0,1
"nalertexercise",0,0,0,0,0,0,1
"namenthats",0,0,0,0,0,0,1
"namerica",0,0,0,0,0,0,1
"nancy",0,0,0,0,0,0,1
"nanouncment",0,0,0,0,0,0,1
"nanyways",0,0,0,0,0,0,1
"naomi",0,0,0,0,0,0,1
"napalm",0,0,0,0,0,0,1
"napnjess",0,0,0,0,0,0,1
"naps",0,0,0,0,0,0,1
"narration",0,0,0,0,0,0,1
"narwal",0,0,0,0,0,0,2
"nassistant",0,0,0,0,0,0,1
"nationalist",0,0,0,0,0,0,1
"nationalty",0,0,0,0,0,0,1
"natiã¸n",0,0,0,0,0,0,1
"natr",0,0,0,0,0,0,2
"nattalia",0,0,0,0,0,0,1
"navies",0,0,0,0,0,0,1
"nawwwwww",0,0,0,0,0,0,1
"nbathroom",0,0,0,0,0,0,2
"nbinder",0,0,0,0,0,0,1
"nboy",0,0,0,0,0,0,2
"nboys",0,0,0,0,0,0,1
"nbrat",0,0,0,0,0,0,1
"nbreaks",0,0,0,0,0,0,1
"nce",0,0,0,0,0,0,1
"nchange",0,0,0,0,0,0,1
"nchicagos",0,0,0,0,0,0,1
"nchildrennmy",0,0,0,0,0,0,1
"nclass",0,0,0,0,0,0,1
"nclassðufu³run",0,0,0,0,0,0,1
"ncn",0,0,0,0,0,0,1
"ncolumbine",0,0,0,0,0,0,1
"ncops",0,0,0,0,0,0,1
"ndamn",0,0,0,0,0,0,2
"ndrumroll",0,0,0,0,0,0,1
"nduring",0,0,0,0,0,0,1
"nearbye",0,0,0,0,0,0,1
"nebraska",0,0,0,0,0,0,1
"necessaryni",0,0,0,0,0,0,1
"neckit",0,0,0,0,0,0,1
"necknnpeople",0,0,0,0,0,0,1
"nee",0,0,0,0,0,0,1
"needless",0,0,0,0,0,0,2
"neeewws",0,0,0,0,0,0,1
"neighboorhood",0,0,0,0,0,0,1
"neonazi",0,0,0,0,0,0,1
"nessecery",0,0,0,0,0,0,1
"nessesarynedit",0,0,0,0,0,0,1
"nestor",0,0,0,0,0,0,4
"nests",0,0,0,0,0,0,1
"netflix",0,0,0,0,0,0,1
"neutrality",0,0,0,0,0,0,2
"nevada",0,0,0,0,0,0,3
"neverland",0,0,0,0,0,0,1
"neville",0,0,0,0,0,0,3
"newschool",0,0,0,0,0,0,1
"newsðufuudðufuu",0,0,0,0,0,0,1
"newtownsandy",0,0,0,0,0,0,1
"nexample",0,0,0,0,0,0,1
"nexit",0,0,0,0,0,0,1
"nexk",0,0,0,0,0,0,1
"nfire",0,0,0,0,0,0,1
"nfound",0,0,0,0,0,0,1
"nfriend",0,0,0,0,0,0,3
"nfriendbro",0,0,0,0,0,0,1
"nfriendwhy",0,0,0,0,0,0,1
"nfucking",0,0,0,0,0,0,2
"nfun",0,0,0,0,0,0,1
"ngirl",0,0,0,0,0,0,1
"ngirls",0,0,0,0,0,0,1
"ngodni",0,0,0,0,0,0,1
"nguni",0,0,0,0,0,0,1
"nhad",0,0,0,0,0,0,1
"nhalfway",0,0,0,0,0,0,1
"nhilarious",0,0,0,0,0,0,1
"nhim",0,0,0,0,0,0,1
"nhood",0,0,0,0,0,0,1
"nhttpswwwwashingtonpostcomgraphicsnationalmassshootingsamerica",0,0,0,0,0,0,1
"nibba",0,0,0,0,0,0,1
"nichrome",0,0,0,0,0,0,1
"nicki",0,0,0,0,0,0,1
"niemczyk",0,0,0,0,0,0,1
"nietzsche",0,0,0,0,0,0,1
"nife",0,0,0,0,0,0,2
"niggaaaa",0,0,0,0,0,0,1
"nigglets",0,0,0,0,0,0,1
"nightclublas",0,0,0,0,0,0,1
"nightcore",0,0,0,0,0,0,1
"nightmarenand",0,0,0,0,0,0,1
"nightmarennoh",0,0,0,0,0,0,1
"nikolic",0,0,0,0,0,0,1
"nikr",0,0,0,0,0,0,1
"nill",0,0,0,0,0,0,1
"nimmediately",0,0,0,0,0,0,1
"ning",0,0,0,0,0,0,1
"ninjaism",0,0,0,0,0,0,1
"ninjapig",0,0,0,0,0,0,3
"nive",0,0,0,0,0,0,1
"njumps",0,0,0,0,0,0,1
"nkid",0,0,0,0,0,0,1
"nkinder",0,0,0,0,0,0,1
"nklaxon",0,0,0,0,0,0,1
"nlas",0,0,0,0,0,0,1
"nlaugh",0,0,0,0,0,0,2
"nleaves",0,0,0,0,0,0,1
"nlesson",0,0,0,0,0,0,1
"nlet",0,0,0,0,0,0,1
"nliar",0,0,0,0,0,0,1
"nlocked",0,0,0,0,0,0,1
"nmake",0,0,0,0,0,0,2
"nmegets",0,0,0,0,0,0,1
"nmegrabs",0,0,0,0,0,0,1
"nmelaughsnteachereveryone",0,0,0,0,0,0,1
"nmelets",0,0,0,0,0,0,1
"nmenope",0,0,0,0,0,0,1
"nmeplaying",0,0,0,0,0,0,1
"nmepunches",0,0,0,0,0,0,1
"nmethis",0,0,0,0,0,0,1
"nmewhat",0,0,0,0,0,0,1
"nmore",0,0,0,0,0,0,1
"nmuh",0,0,0,0,0,0,1
"nnalot",0,0,0,0,0,0,1
"nnamy",0,0,0,0,0,0,1
"nnas",0,0,0,0,0,0,1
"nnat",0,0,0,0,0,0,1
"nnbich",0,0,0,0,0,0,1
"nnbottom",0,0,0,0,0,0,1
"nnbrat",0,0,0,0,0,0,1
"nnclass",0,0,0,0,0,0,3
"nnclassgrabs",0,0,0,0,0,0,1
"nncode",0,0,0,0,0,0,2
"nndecember",0,0,0,0,0,0,1
"nndont",0,0,0,0,0,0,2
"nndosnt",0,0,0,0,0,0,1
"nnentire",0,0,0,0,0,0,1
"nnet",0,0,0,0,0,0,1
"nnews",0,0,0,0,0,0,1
"nnext",0,0,0,0,0,0,2
"nnfight",0,0,0,0,0,0,1
"nnfire",0,0,0,0,0,0,1
"nnget",0,0,0,0,0,0,1
"nnglobal",0,0,0,0,0,0,1
"nnhellooo",0,0,0,0,0,0,1
"nnhide",0,0,0,0,0,0,1
"nnimagine",0,0,0,0,0,0,1
"nnkeep",0,0,0,0,0,0,1
"nnklaxon",0,0,0,0,0,0,1
"nnlock",0,0,0,0,0,0,1
"nnmake",0,0,0,0,0,0,1
"nnmaybe",0,0,0,0,0,0,1
"nnmeguys",0,0,0,0,0,0,1
"nnmeim",0,0,0,0,0,0,1
"nnnalso",0,0,0,0,0,0,1
"nnnannouncement",0,0,0,0,0,0,1
"nnnare",0,0,0,0,0,0,1
"nnnbefore",0,0,0,0,0,0,1
"nnnbut",0,0,0,0,0,0,1
"nnnby",0,0,0,0,0,0,1
"nnnclass",0,0,0,0,0,0,1
"nnncode",0,0,0,0,0,0,1
"nnnedit",0,0,0,0,0,0,1
"nnnfrom",0,0,0,0,0,0,1
"nnnhonestly",0,0,0,0,0,0,1
"nnni",0,0,0,0,0,0,2
"nnnif",0,0,0,0,0,0,2
"nnnigga",0,0,0,0,0,0,1
"nnnikrrr",0,0,0,0,0,0,1
"nnnit",0,0,0,0,0,0,1
"nnnmakes",0,0,0,0,0,0,1
"nnnme",0,0,0,0,0,0,1
"nnnmy",0,0,0,0,0,0,1
"nnnn",0,0,0,0,0,0,1
"nnnnannocment",0,0,0,0,0,0,1
"nnnnmeh",0,0,0,0,0,0,1
"nnnnnbutnnat",0,0,0,0,0,0,1
"nnnnnfind",0,0,0,0,0,0,1
"nnnnnidk",0,0,0,0,0,0,1
"nnnnnna",0,0,0,0,0,0,1
"nnnnnnall",0,0,0,0,0,0,1
"nnnnnnfire",0,0,0,0,0,0,1
"nnnnnnj",0,0,0,0,0,0,1
"nnnnnnnbut",0,0,0,0,0,0,1
"nnnnnnnif",0,0,0,0,0,0,1
"nnnnnnnkick",0,0,0,0,0,0,1
"nnnnnnnnnprobably",0,0,0,0,0,0,1
"nnnnnnnnnyou",0,0,0,0,0,0,1
"nnnnnnnnw",0,0,0,0,0,0,1
"nnnnnnso",0,0,0,0,0,0,1
"nnnnnnsome",0,0,0,0,0,0,1
"nnnnnnthe",0,0,0,0,0,0,2
"nnnnnnthrow",0,0,0,0,0,0,1
"nnnnoh",0,0,0,0,0,0,1
"nnnnps",0,0,0,0,0,0,1
"nnnnteacher",0,0,0,0,0,0,1
"nnnnthere",0,0,0,0,0,0,1
"nnnobody",0,0,0,0,0,0,1
"nnnread",0,0,0,0,0,0,1
"nnnschool",0,0,0,0,0,0,1
"nnnthe",0,0,0,0,0,0,1
"nnnturns",0,0,0,0,0,0,1
"nnnwhen",0,0,0,0,0,0,1
"nnobody",0,0,0,0,0,0,1
"nnoffice",0,0,0,0,0,0,1
"nnpolice",0,0,0,0,0,0,1
"nnprincipal",0,0,0,0,0,0,1
"nnrandom",0,0,0,0,0,0,1
"nnrun",0,0,0,0,0,0,2
"nnschool",0,0,0,0,0,0,1
"nnshitty",0,0,0,0,0,0,1
"nnshooter",0,0,0,0,0,0,2
"nnshut",0,0,0,0,0,0,1
"nnside",0,0,0,0,0,0,1
"nnsips",0,0,0,0,0,0,1
"nnsitting",0,0,0,0,0,0,1
"nnstatistically",0,0,0,0,0,0,1
"nnstep",0,0,0,0,0,0,1
"nntbh",0,0,0,0,0,0,1
"nnteacher",0,0,0,0,0,0,4
"nnteacherexplains",0,0,0,0,0,0,1
"nnteacherok",0,0,0,0,0,0,1
"nnthan",0,0,0,0,0,0,1
"nnthank",0,0,0,0,0,0,1
"nnthey",0,0,0,0,0,0,1
"nnweird",0,0,0,0,0,0,1
"nnwhats",0,0,0,0,0,0,1
"nnyears",0,0,0,0,0,0,1
"nnðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼ðufuuðufuf¼nnfind",0,0,0,0,0,0,1
"nnðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufu¿ðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuuðufuunnfind",0,0,0,0,0,0,1
"nnðufu©ðufuf¼âuudðufue¨ðufu©ðufuf¼âuudðufue¨ðufu©ðufuf¼âuudðufue¨ðufu©ðufuf¼âuudðufue¨ðufu©ðufuf¼âuudðufue¨ðufu©ðufuf¼âuudðufue¨ðufu©ðufuf¼âuudðufue¨ðufu©ðufuf¼âuudðufue¨ðufu©ðufuf¼âuudðufue¨ðufu©ðufuf¼âuudðufue¨ðufu©ðufuf¼âuudðufue¨ðufu©ðufuf¼âuudðufue¨ðufu©ðufuf¼âuudðufue¨ðufu©ðufuf¼âuudðufue¨ðufu©ðufuf¼âuudðufue¨ðufu©ðufuf¼âuudðufue¨ðufu¨ðufuf¼âuudðufue¨ðufu©ðufuf¼âuudðufue¨ðufu¨ðufuf¼âuudðufue¨ðufu¨ðufuf¼âuudðufue¨ðufu¨ðufuf¼âuudðufue¨ðufu¨ðufuf¼âuudðufue¨ðufu¨ðufuf¼âuudðufue¨ðufu¨ðufuf¼âuudðufue¨ðufu¨ðufuf¼âuudðufue¨ðufu¨ðufuf¼âuudðufue¨ðufu¨ðufuf¼âuudðufue¨ðufu¨ðufuf¼âuudðufue¨ðufu¨ðufuf¼âuudðufue¨ðufu¨ðufuf¼âuudðufue¨ðufu¨ðufuf¼âuudðufue¨ðufu¨ðufuf¼âuudðufue¨ðufu¨ðufuf¼âuudðufue¨ðufu¨ðufuf¼âuudðufue¨ðufu¨ðufuf¼âuudðufue¨ðufu¨ðufuf¼âuudðufue¨ðufu©ðufuf¼âuudðufue¨ðufu©ðufuf¼âuudðufue¨ðufu©ðufuf¼âuudðufue¨ðufu©ðufuf¼âuudðufue¨ðufu©ðufuf¼âuudðufue¨ðufu©ðufuf¼âuudðufue¨ðufu©ðufuf¼âuudðufue¨ðufu©ðufuf¼âuudðufue¨ðufu©ðufuf¼âuudðufue¨ðufu©ðufuf¼âuudðufue¨ðufu©ðufuf¼âuudðufue¨ðufu©ðufuf¼âuudðufue¨ðufu©ðufuf¼âuudðufue¨ðufu©ðufuf¼âuudðufue¨nnfind",0,0,0,0,0,0,1
"nnðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu©ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«ðufu«nnfind",0,0,0,0,0,0,1
"nnðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯ðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸ufðufu¯âuudâuuï¸uf",0,0,0,0,0,0,1
"nofrills",0,0,0,0,0,0,2
"nohgodherewegompnkid",0,0,0,0,0,0,1
"noisennpeople",0,0,0,0,0,0,1
"noisesnmy",0,0,0,0,0,0,1
"noisewelluhh",0,0,0,0,0,0,1
"noiseðufuu",0,0,0,0,0,0,1
"nokno",0,0,0,0,0,0,1
"nonce",0,0,0,0,0,0,1
"nonfucked",0,0,0,0,0,0,1
"nonmuslims",0,0,0,0,0,0,1
"nonsexistically",0,0,0,0,0,0,1
"noobs",0,0,0,0,0,0,3
"noodle",0,0,0,0,0,0,1
"noones",0,0,0,0,0,0,1
"noooooo",0,0,0,0,0,0,1
"noooooooooo",0,0,0,0,0,0,1
"noooooow",0,0,0,0,0,0,1
"normalized",0,0,0,0,0,0,1
"normies",0,0,0,0,0,0,1
"norris",0,0,0,0,0,0,2
"northampton",0,0,0,0,0,0,1
"northwesten",0,0,0,0,0,0,1
"norwaynnits",0,0,0,0,0,0,1
"noscope",0,0,0,0,0,0,1
"nostra",0,0,0,0,0,0,2
"nother",0,0,0,0,0,0,2
"noticeable",0,0,0,0,0,0,1
"notifying",0,0,0,0,0,0,1
"notinfraction",0,0,0,0,0,0,2
"nova",0,0,0,0,0,0,1
"nownalert",0,0,0,0,0,0,1
"nownfrick",0,0,0,0,0,0,1
"nownme",0,0,0,0,0,0,1
"nownngunner",0,0,0,0,0,0,1
"nownnnnnnkill",0,0,0,0,0,0,1
"nownnthe",0,0,0,0,0,0,1
"nownshooterruns",0,0,0,0,0,0,1
"nowntwo",0,0,0,0,0,0,1
"npaying",0,0,0,0,0,0,2
"npc",0,0,0,0,0,0,1
"npeople",0,0,0,0,0,0,1
"nphewâu¦nbut",0,0,0,0,0,0,1
"nplot",0,0,0,0,0,0,1
"npokã¨mon",0,0,0,0,0,0,1
"npumped",0,0,0,0,0,0,1
"nquiet",0,0,0,0,0,0,1
"nreality",0,0,0,0,0,0,1
"nrealityo",0,0,0,0,0,0,1
"nrespect",0,0,0,0,0,0,1
"nschool",0,0,0,0,0,0,1
"nshame",0,0,0,0,0,0,1
"nshooterahhhhhnmelaughs",0,0,0,0,0,0,1
"nshootercloses",0,0,0,0,0,0,1
"nshooterhey",0,0,0,0,0,0,1
"nshooterim",0,0,0,0,0,0,1
"nshoots",0,0,0,0,0,0,1
"nshut",0,0,0,0,0,0,1
"nsi",0,0,0,0,0,0,1
"nsir",0,0,0,0,0,0,1
"nsooooooooooooooooo",0,0,0,0,0,0,1
"nstabsnshooter",0,0,0,0,0,0,1
"nstep",0,0,0,0,0,0,2
"nstudentswait",0,0,0,0,0,0,1
"nstupid",0,0,0,0,0,0,2
"nsubscribestart",0,0,0,0,0,0,1
"ntalking",0,0,0,0,0,0,1
"nteach",0,0,0,0,0,0,1
"nteacherputs",0,0,0,0,0,0,1
"nth",0,0,0,0,0,0,1
"nthembitch",0,0,0,0,0,0,1
"nthese",0,0,0,0,0,0,2
"nti",0,0,0,0,0,0,1
"ntrack",0,0,0,0,0,0,1
"nubmer",0,0,0,0,0,0,1
"nuclearsharkgaming",0,0,0,0,0,0,1
"nuketown",0,0,0,0,0,0,1
"nun",0,0,0,0,0,0,1
"nurta",0,0,0,0,0,0,1
"nutkicked",0,0,0,0,0,0,1
"nuuuuuuuuunnteacher",0,0,0,0,0,0,1
"nvr",0,0,0,0,0,0,1
"nwhere",0,0,0,0,0,0,1
"nwho",0,0,0,0,0,0,1
"nwhole",0,0,0,0,0,0,1
"nword",0,0,0,0,0,0,1
"nwow",0,0,0,0,0,0,1
"nyoull",0,0,0,0,0,0,1
"nðufuu",0,0,0,0,0,0,1
"nðufuuf",0,0,0,0,0,0,1
"oaooaoaoaoaaaaaaa",0,0,0,0,0,0,1
"obiously",0,0,0,0,0,0,1
"objets",0,0,0,0,0,0,1
"obviouspie",0,0,0,0,0,0,1
"ocdr",0,0,0,0,0,0,1
"octolingxx",0,0,0,0,0,0,2
"oddly",0,0,0,0,0,0,1
"offender",0,0,0,0,0,0,1
"offnwhen",0,0,0,0,0,0,1
"ofton",0,0,0,0,0,0,1
"ohb",0,0,0,0,0,0,1
"ohhhhh",0,0,0,0,0,0,1
"ohhhhhh",0,0,0,0,0,0,1
"ohhhhhhhh",0,0,0,0,0,0,1
"ohmyfreakinggod",0,0,0,0,0,0,1
"ohnmy",0,0,0,0,0,0,1
"ohnshooter",0,0,0,0,0,0,1
"ohoknnwhat",0,0,0,0,0,0,1
"okaynnn",0,0,0,0,0,0,1
"okaynschool",0,0,0,0,0,0,1
"okaynstabsnfriendwtcnstudent",0,0,0,0,0,0,1
"okaynwhy",0,0,0,0,0,0,1
"okngive",0,0,0,0,0,0,1
"oknnnnnnnnwe",0,0,0,0,0,0,1
"okðuf¤uðuf¤uðufuu",0,0,0,0,0,0,1
"oldamost",0,0,0,0,0,0,1
"oldguys",0,0,0,0,0,0,1
"olejarska",0,0,0,0,0,0,1
"olympic",0,0,0,0,0,0,1
"omae",0,0,0,0,0,0,1
"omahane",0,0,0,0,0,0,1
"omahgod",0,0,0,0,0,0,1
"omahony",0,0,0,0,0,0,2
"omce",0,0,0,0,0,0,1
"omega",0,0,0,0,0,0,3
"omf",0,0,0,0,0,0,1
"omgjust",0,0,0,0,0,0,1
"omlðufu¹ðufu¹",0,0,0,0,0,0,1
"onece",0,0,0,0,0,0,1
"onennndeath",0,0,0,0,0,0,1
"onesn",0,0,0,0,0,0,1
"onestly",0,0,0,0,0,0,1
"onlyinamerica",0,0,0,0,0,0,1
"onlynnman",0,0,0,0,0,0,1
"oohhhhh",0,0,0,0,0,0,1
"ooohhh",0,0,0,0,0,0,1
"oooks",0,0,0,0,0,0,1
"ooooo",0,0,0,0,0,0,1
"oooooh",0,0,0,0,0,0,1
"ooooooh",0,0,0,0,0,0,1
"oooooooooooornyou",0,0,0,0,0,0,1
"oooooooooooowwwowowowowo",0,0,0,0,0,0,1
"ooor",0,0,0,0,0,0,1
"openable",0,0,0,0,0,0,1
"openyoureyessheeple",0,0,0,0,0,0,1
"opinionnone",0,0,0,0,0,0,1
"optics",0,0,0,0,0,0,1
"orderly",0,0,0,0,0,0,1
"oregonâ",0,0,0,0,0,0,1
"organnshootermy",0,0,0,0,0,0,1
"orgasm",0,0,0,0,0,0,1
"orphan",0,0,0,0,0,0,2
"orsifs",0,0,0,0,0,0,1
"orsss",0,0,0,0,0,0,3
"osborne",0,0,0,0,0,0,1
"otacos",0,0,0,0,0,0,1
"othere",0,0,0,0,0,0,1
"othet",0,0,0,0,0,0,1
"ottos",0,0,0,0,0,0,3
"ours",0,0,0,0,0,0,1
"ourself",0,0,0,0,0,0,1
"ousside",0,0,0,0,0,0,2
"outdo",0,0,0,0,0,0,1
"outdone",0,0,0,0,0,0,1
"outer",0,0,0,0,0,0,1
"outher",0,0,0,0,0,0,1
"outie",0,0,0,0,0,0,2
"outing",0,0,0,0,0,0,1
"outloud",0,0,0,0,0,0,2
"outnme",0,0,0,0,0,0,1
"outsidenfucking",0,0,0,0,0,0,1
"outsider",0,0,0,0,0,0,1
"outsides",0,0,0,0,0,0,1
"outsideðufu¹",0,0,0,0,0,0,1
"outwards",0,0,0,0,0,0,1
"outâuud",0,0,0,0,0,0,1
"outðufuªðufuªðufu¨ðufuµðufu®",0,0,0,0,0,0,1
"outðufu­ðufuu",0,0,0,0,0,0,1
"ouuut",0,0,0,0,0,0,1
"ouuutttt",0,0,0,0,0,0,1
"ovalfootball",0,0,0,0,0,0,1
"ovbiolus",0,0,0,0,0,0,1
"overhead",0,0,0,0,0,0,1
"overloads",0,0,0,0,0,0,1
"overnight",0,0,0,0,0,0,1
"overpopulation",0,0,0,0,0,0,4
"overprotective",0,0,0,0,0,0,1
"overused",0,0,0,0,0,0,1
"overwatch",0,0,0,0,0,0,2
"overwhelm",0,0,0,0,0,0,1
"ovous",0,0,0,0,0,0,1
"owch",0,0,0,0,0,0,1
"ownerehip",0,0,0,0,0,0,1
"owo",0,0,0,0,0,0,1
"oww",0,0,0,0,0,0,1
"ozzyr",0,0,0,0,0,0,1
"paco",0,0,0,0,0,0,1
"pad",0,0,0,0,0,0,1
"paddock",0,0,0,0,0,0,5
"pads",0,0,0,0,0,0,2
"paez",0,0,0,0,0,0,3
"painjust",0,0,0,0,0,0,1
"palms",0,0,0,0,0,0,1
"palpatine",0,0,0,0,0,0,1
"paly",0,0,0,0,0,0,1
"panapal",0,0,0,0,0,0,1
"pandas",0,0,0,0,0,0,1
"panera",0,0,0,0,0,0,1
"panicanxiety",0,0,0,0,0,0,1
"panicked",0,0,0,0,0,0,5
"panicn",0,0,0,0,0,0,1
"panicnhad",0,0,0,0,0,0,1
"panicnme",0,0,0,0,0,0,1
"paperwork",0,0,0,0,0,0,1
"parentsstudents",0,0,0,0,0,0,1
"parentsâuud",0,0,0,0,0,0,1
"parkour",0,0,0,0,0,0,1
"paronoid",0,0,0,0,0,0,1
"parra",0,0,0,0,0,0,2
"parrill",0,0,0,0,0,0,1
"partable",0,0,0,0,0,0,1
"partying",0,0,0,0,0,0,1
"passerby",0,0,0,0,0,0,1
"passingly",0,0,0,0,0,0,1
"passport",0,0,0,0,0,0,1
"paste",0,0,0,0,0,0,3
"pastel",0,0,0,0,0,0,1
"pat",0,0,0,0,0,0,1
"patd",0,0,0,0,0,0,1
"pathway",0,0,0,0,0,0,1
"pauses",0,0,0,0,0,0,1
"paved",0,0,0,0,0,0,1
"pawg",0,0,0,0,0,0,1
"payout",0,0,0,0,0,0,1
"pdt",0,0,0,0,0,0,1
"pea",0,0,0,0,0,0,1
"peaker",0,0,0,0,0,0,1
